,2021-02,2021-04,2021-05,2021-06,2021-07,2022-11,2022-12
A101,2,13,23,48,14,0,0
A105,0,1,0,0,0,0,0
A11,0,0,1,3,2,0,0
A12,0,0,0,1,0,1,2
A13,0,0,0,1,1,0,0
A16,0,0,0,0,0,0,1
A18,0,0,0,0,0,1,0
A1B,0,2,8,124,72,0,0
A2,0,0,1,1,1,2,1
A20,0,0,3,5,4,2,0
A21,0,0,1,1,1,0,0
A22,0,0,0,3,1,2,3
A23,0,0,1,9,2,0,0
A24,0,0,2,6,2,0,1
A25,0,9,3,7,5,0,0
A28,0,0,0,5,2,0,0
A29,0,1,2,7,2,0,1
A30,0,1,1,10,2,1,0
A31,0,2,2,3,2,0,0
A32,0,0,0,0,0,1,0
A33,0,0,0,0,0,1,1
A34,0,0,0,0,1,0,0
A38,0,0,0,0,0,1,0
A39,0,2,3,17,4,0,0
A45,0,0,0,0,0,0,1
A46,0,0,0,4,0,2,4
A47,0,0,0,1,3,0,0
A49,0,1,1,7,4,0,0
A53,0,0,1,0,0,0,0
A54,0,0,1,0,1,0,0
A58,0,0,2,3,0,0,0
A59,0,0,0,0,1,0,0
A60,0,1,0,3,0,2,0
A61,0,0,1,4,2,0,1
A62,0,0,0,0,0,1,0
A63,0,0,0,1,0,0,0
A64,0,0,0,0,0,0,1
A66,0,1,0,3,1,0,0
A67,1,1,1,6,4,0,0
A68,0,0,0,0,0,1,0
A7,0,0,0,0,0,1,0
A73,0,0,0,0,0,0,1
A78,0,1,7,15,6,0,0
A80,0,0,0,3,1,0,0
A85,0,0,0,1,0,0,1
A9,0,0,0,0,1,0,0
A94,0,0,0,2,0,0,0